OZN,OFU,OZU,OZK,OPIS,OFUst,OZUst,OZKst,
"Lz-PsIV","Lz","Ps","IV","Grunty zadrzewione i zakrzewione",,"Lz-Ps","IV",
"Lz-PsV","Lz","Ps","V","Grunty zadrzewione i zakrzewione",,"Lz-Ps","V",
"Lz-PsVI","Lz","Ps","VI","Grunty zadrzewione i zakrzewione",,"Lz-Ps","VI",
"Lz-RI","Lz","R","I","Grunty zadrzewione i zakrzewione",,"Lz-R","I",
"Lz-RII","Lz","R","II","Grunty zadrzewione i zakrzewione",,"Lz-R","II",
"Lz-RIIIa","Lz","R","IIIa","Grunty zadrzewione i zakrzewione",,"Lz-R","IIIa",
"Lz-RIIIb","Lz","R","IIIb","Grunty zadrzewione i zakrzewione",,"Lz-R","IIIb",
"Lz-RIVa","Lz","R","IVa","Grunty zadrzewione i zakrzewione",,"Lz-R","IVa",
"Lz-RIVb","Lz","R","IVb","Grunty zadrzewione i zakrzewione",,"Lz-R","IVb",
"Lz-RV","Lz","R","V","Grunty zadrzewione i zakrzewione",,"Lz-R","V",
"Lz-RVI","Lz","R","VI","Grunty zadrzewione i zakrzewione",,"Lz-R","VI",
"£I","£","£","I","£¹ki trwa³e",,"£","I",
"£II","£","£","II","£¹ki trwa³e",,"£","II",
"£III","£","£","III","£¹ki trwa³e",,"£","III",
"£IV","£","£","IV","£¹ki trwa³e",,"£","IV",
"£V","£","£","V","£¹ki trwa³e",,"£","V",
"£VI","£","£","VI","£¹ki trwa³e",,"£","VI",
"N","N",,,"Nieu¿ytki",,"N",,
"PsI","Ps","Ps","I","Pastwiska trwa³e",,"Ps","I",
"PsII","Ps","Ps","II","Pastwiska trwa³e",,"Ps","II",
"PsIII","Ps","Ps","III","Pastwiska trwa³e",,"Ps","III",
"PsIV","Ps","Ps","IV","Pastwiska trwa³e",,"Ps","IV",
"PsV","Ps","Ps","V","Pastwiska trwa³e",,"Ps","V",
"PsVI","Ps","Ps","VI","Pastwiska trwa³e",,"Ps","VI",
"RI","R","R","I","Grunty orne",,"R","I",
"RII","R","R","II","Grunty orne",,"R","II",
"RIIIa","R","R","IIIa","Grunty orne",,"R","IIIa",
"RIIIb","R","R","IIIb","Grunty orne",,"R","IIIb",
"RIVa","R","R","IVa","Grunty orne",,"R","IVa",
"RIVb","R","R","IVb","Grunty orne",,"R","IVb",
"RV","R","R","V","Grunty orne",,"R","V",
"RVI","R","R","VI","Grunty orne",,"R","VI",
"S-£I","S","£","I","Sad",,"S-£","I",
"S-£II","S","£","II","Sad",,"S-£","II",
"S-£III","S","£","III","Sad",,"S-£","III",
"S-£IV","S","£","IV","Sad",,"S-£","IV",
"S-£V","S","£","V","Sad",,"S-£","V",
"S-£VI","S","£","VI","Sad",,"S-£","VI",
"S-PsI","S","Ps","I","Sad",,"S-Ps","I",
"S-PsII","S","Ps","II","Sad",,"S-Ps","II",
"S-PsIII","S","Ps","III","Sad",,"S-Ps","III",
"S-PsIV","S","Ps","IV","Sad",,"S-Ps","IV",
"S-PsV","S","Ps","V","Sad",,"S-Ps","V",
"S-PsVI","S","Ps","VI","Sad",,"S-Ps","VI",
"S-RI","S","R","I","Sad",,"S-R","I",
"S-RII","S","R","II","Sad",,"S-R","II",
"S-RIIIa","S","R","IIIa","Sad",,"S-R","IIIa",
"S-RIIIb","S","R","IIIb","Sad",,"S-R","IIIb",
"S-RIVa","S","R","IVa","Sad",,"S-R","IVa",
"S-RIVb","S","R","IVb","Sad",,"S-R","IVb",
"S-RV","S","R","V","Sad",,"S-R","V",
"S-RVI","S","R","VI","Sad",,"S-R","VI",
"Ti","Ti",,,"Inne tereny komunikacyjne",,"Ti",,
"Tk","Tk",,,"Tereny kolejowe",,"Tk",,
"Tr","Tr",,,"Tereny ró¿ne",,"Tr",,
"W","W",,,"Rowy",,"W",,
"W-LsI","W","Ls","I","Rowy","W","Ls","I",
"W-LsII","W","Ls","II","Rowy","W","Ls","II",
"W-LsIII","W","Ls","III","Rowy","W","Ls","III",
"W-LsIV","W","Ls","IV","Rowy","W","Ls","IV",
"W-LsV","W","Ls","V","Rowy","W","Ls","V",
"W-LsVI","W","Ls","VI","Rowy","W","Ls","VI",
"W-£I","W","£","I","Rowy","W","£","I",
"W-£II","W","£","II","Rowy","W","£","II",
"W-£III","W","£","III","Rowy","W","£","III",
"W-£IV","W","£","IV","Rowy","W","£","IV",
"W-£V","W","£","V","Rowy","W","£","V",
"W-£VI","W","£","VI","Rowy","W","£","VI",
